Instrument,Date,Price Open,Price High,Price Low,Price Close,Volume(1000shares),turnover(1000),sma5,sma10,sma20,k,d,bias5,bias10,bias20,rsi,w%r,mtm,macd,macd_signal,macdhist,ar,br,dmi,MV%,ROI%,Market Capital,P/E,P/B,Long PSTN VAL,Short PSTN VAL,Qfii Net S/B M.Cap,Fund Net S/B M.Cap,Dealer Net S/B M.Cap,Liabilities Ratio,ROA-Comprehensive Income,ROE-Comprehensive Income,Net Income Ratio,Return on Total Assets Growth Rate - YOY,Recurring EPS,P/E Ratio at Quarter-End,Cash Dividend Yield,Dividend Yield,Current Ratio,Acid-Test Ratio,Equity Turnover,Inventory Turnover
1734.TW,2010/1/4,21.6622 ,21.7667 ,21.1398 ,21.2095 ,1520.0000 ,46487.0000 ,21.5229 ,21.5508 ,21.8050 ,31.1359 ,40.3127 ,-1.4562 ,-1.5837 ,-2.7312 ,48.4473 ,-95.8306 ,-0.3831 ,0.2215 ,0.3295 ,-0.1080 ,115.5809 ,187.8670 ,2.2929 ,2.9032 ,-1.7742 ,0.0170 ,41.2000 ,1.9600 ,402973.7400 ,2995.8600 ,-0.2400 ,0.0000 ,0.3000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/5,21.2791 ,21.4533 ,20.9309 ,20.9309 ,1366.0000 ,41479.0000 ,21.4115 ,21.4707 ,21.7911 ,15.2646 ,31.1617 ,-2.2445 ,-2.5141 ,-3.9475 ,44.1591 ,-100.0000 ,-0.5572 ,0.1567 ,0.2949 ,-0.1383 ,119.8224 ,188.4446 ,10.8805 ,2.4631 ,-1.3136 ,0.0170 ,40.6600 ,1.9400 ,394558.5600 ,1426.9200 ,0.0000 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/6,21.1050 ,21.2095 ,20.9309 ,20.9309 ,985.0000 ,29750.0000 ,21.2652 ,21.3941 ,21.7458 ,2.5658 ,16.3221 ,-1.5721 ,-2.1649 ,-3.7475 ,44.1591 ,-100.0000 ,-0.5572 ,0.1041 ,0.2568 ,-0.1527 ,115.0858 ,198.8050 ,10.8805 ,1.3311 ,0.0000 ,0.0170 ,40.6600 ,1.9400 ,389149.1000 ,1418.9300 ,0.0000 ,0.0000 ,0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/7,21.2095 ,21.2095 ,20.6871 ,20.7916 ,1011.0000 ,30353.0000 ,21.0911 ,21.3349 ,21.6535 ,2.7782 ,6.8696 ,-1.4200 ,-2.5464 ,-3.9806 ,42.0033 ,-93.1806 ,-0.8706 ,0.0506 ,0.2155 ,-0.1649 ,100.4045 ,205.5566 ,15.2023 ,2.4958 ,-0.6656 ,0.0170 ,40.3900 ,1.9200 ,380256.7100 ,1260.4200 ,0.3900 ,0.0000 ,0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/8,20.9657 ,21.5229 ,20.6523 ,21.2443 ,2344.0000 ,71267.0000 ,21.0214 ,21.3000 ,21.6187 ,20.4858 ,8.6099 ,1.0602 ,-0.2617 ,-1.7319 ,50.4667 ,-60.4674 ,-0.4179 ,0.0442 ,0.1813 ,-0.1371 ,104.0004 ,184.9179 ,3.0896 ,4.1876 ,2.1776 ,0.0170 ,40.8000 ,1.9400 ,388171.4700 ,1489.1100 ,0.1200 ,0.0000 ,0.3700 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/11,21.4533 ,21.4533 ,21.1398 ,21.2443 ,1021.0000 ,31214.0000 ,21.0284 ,21.2757 ,21.5386 ,43.1522 ,22.1387 ,1.0267 ,-0.1474 ,-1.3664 ,50.4667 ,-57.5018 ,-0.3483 ,0.0387 ,0.1528 ,-0.1141 ,98.8268 ,184.3568 ,3.0896 ,1.4754 ,0.0000 ,0.0170 ,40.8000 ,1.9400 ,393881.1500 ,1344.2000 ,0.0000 ,0.0000 ,-0.0300 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/12,21.3140 ,21.5578 ,21.1050 ,21.1398 ,1145.0000 ,35022.0000 ,21.0702 ,21.2408 ,21.4724 ,58.3198 ,40.6526 ,0.3304 ,-0.4756 ,-1.5491 ,48.5692 ,-65.0036 ,-0.0697 ,0.0256 ,0.1273 ,-0.1017 ,96.9446 ,188.2676 ,0.9383 ,2.1311 ,-0.4918 ,0.0170 ,40.6000 ,1.9300 ,397998.7000 ,1253.7800 ,-5.8300 ,-0.0300 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/13,21.2443 ,21.2443 ,20.9309 ,20.9657 ,654.0000 ,19803.0000 ,21.0771 ,21.1712 ,21.4185 ,52.1492 ,51.2070 ,-0.5287 ,-0.9706 ,-2.1139 ,45.4998 ,-77.5018 ,0.0348 ,0.0012 ,0.1021 ,-0.1009 ,80.0723 ,241.2594 ,5.6741 ,1.4827 ,-0.8237 ,0.0170 ,40.2600 ,1.9200 ,392411.6800 ,1028.8400 ,0.0300 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/14,20.9657 ,21.1050 ,20.8612 ,20.9309 ,908.0000 ,27287.0000 ,21.1050 ,21.0981 ,21.3680 ,39.7386 ,50.0692 ,-0.8249 ,-0.7923 ,-2.0454 ,44.8892 ,-80.0000 ,0.0000 ,-0.0208 ,0.0775 ,-0.0983 ,87.1974 ,249.2522 ,6.9857 ,1.1628 ,-0.1661 ,0.0170 ,40.2000 ,1.9100 ,387717.3300 ,1021.0200 ,0.0000 ,0.0000 ,0.1500 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/15,21.1050 ,21.1050 ,20.8264 ,20.8612 ,1084.0000 ,32554.0000 ,21.0284 ,21.0249 ,21.3140 ,23.3787 ,38.4222 ,-0.7950 ,-0.7786 ,-2.1243 ,43.6262 ,-85.0036 ,0.0696 ,-0.0433 ,0.0534 ,-0.0966 ,71.7729 ,305.7154 ,9.6943 ,1.3311 ,-0.3328 ,0.0170 ,40.0600 ,1.9100 ,381073.8800 ,960.6400 ,0.0000 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/18,20.8960 ,21.0354 ,20.7567 ,20.7916 ,853.0000 ,25509.0000 ,20.9378 ,20.9831 ,21.2670 ,13.2940 ,25.4705 ,-0.6984 ,-0.9127 ,-2.2352 ,42.3451 ,-90.0000 ,-0.4527 ,-0.0660 ,0.0295 ,-0.0955 ,75.6752 ,306.2481 ,12.4363 ,1.3356 ,-0.3339 ,0.0170 ,39.9300 ,1.9000 ,372613.8000 ,837.2000 ,0.2700 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/19,20.8264 ,21.0005 ,20.6174 ,20.6523 ,925.0000 ,27554.0000 ,20.8403 ,20.9553 ,21.2130 ,4.8939 ,13.8555 ,-0.9023 ,-1.4457 ,-2.6431 ,39.8244 ,-97.5559 ,-0.5920 ,-0.0941 ,0.0048 ,-0.0989 ,59.2096 ,383.9675 ,17.8150 ,1.8425 ,-0.6700 ,0.0170 ,39.6600 ,1.8900 ,365404.1400 ,834.1200 ,0.7400 ,0.0000 ,0.0300 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/20,20.8264 ,21.0354 ,20.7219 ,20.7916 ,661.0000 ,19806.0000 ,20.8055 ,20.9413 ,21.1677 ,15.2165 ,11.1348 ,-0.0669 ,-0.7150 ,-1.7768 ,43.4497 ,-86.8379 ,-0.3482 ,-0.1040 ,-0.0170 ,-0.0870 ,60.3601 ,368.3944 ,15.8942 ,1.5177 ,0.6745 ,0.0170 ,39.9300 ,1.9000 ,363384.8400 ,928.7600 ,0.1200 ,0.0000 ,0.6000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/21,20.7567 ,20.8264 ,20.4085 ,20.5130 ,719.0000 ,21275.0000 ,20.7219 ,20.9135 ,21.1242 ,18.7656 ,12.9586 ,-1.0083 ,-1.9149 ,-2.8932 ,38.4593 ,-92.3060 ,-0.4527 ,-0.1327 ,-0.0401 ,-0.0926 ,60.9319 ,337.9466 ,26.2331 ,2.0101 ,-1.3400 ,0.0170 ,39.3900 ,1.8800 ,358737.0000 ,797.8500 ,1.1200 ,0.0000 ,0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/22,20.1995 ,20.2692 ,19.8512 ,19.9557 ,806.0000 ,23166.0000 ,20.5408 ,20.7846 ,21.0423 ,19.8514 ,17.9445 ,-2.8487 ,-3.9881 ,-5.1640 ,30.8309 ,-93.8767 ,-0.9752 ,-0.1982 ,-0.0717 ,-0.1265 ,53.2422 ,341.3062 ,41.6777 ,2.0374 ,-2.7165 ,0.0170 ,38.3200 ,1.8300 ,342293.4000 ,718.5000 ,0.3400 ,0.0000 ,-1.5500 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/25,19.8512 ,20.1995 ,19.8512 ,19.8861 ,720.0000 ,20625.0000 ,20.3597 ,20.6488 ,20.9622 ,8.9251 ,15.8473 ,-2.3264 ,-3.6936 ,-5.1336 ,30.0298 ,-97.9550 ,-0.9751 ,-0.2528 ,-0.1080 ,-0.1449 ,57.6381 ,350.6733 ,43.2750 ,1.7452 ,-0.3490 ,0.0170 ,38.1900 ,1.8200 ,337608.3200 ,773.2800 ,-0.3100 ,0.0000 ,-0.0900 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/26,20.0950 ,20.1647 ,18.6671 ,18.9458 ,1248.0000 ,34814.0000 ,20.0184 ,20.4294 ,20.8351 ,7.8465 ,12.2077 ,-5.3583 ,-7.2620 ,-9.0679 ,21.7916 ,-90.3587 ,-1.8458 ,-0.3677 ,-0.1599 ,-0.2078 ,43.3911 ,350.6134 ,59.4380 ,7.5306 ,-4.7285 ,0.0170 ,36.3800 ,1.7300 ,319064.4000 ,725.4000 ,-0.3000 ,0.0000 ,-0.3800 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/27,19.4333 ,19.4333 ,18.8064 ,18.8761 ,476.0000 ,12986.0000 ,19.6353 ,20.2204 ,20.6958 ,8.1314 ,8.3010 ,-3.8667 ,-6.6484 ,-8.7926 ,21.3246 ,-92.7699 ,-1.7762 ,-0.4591 ,-0.2197 ,-0.2394 ,40.3253 ,370.2192 ,60.3401 ,3.3088 ,-0.3676 ,0.0170 ,36.2500 ,1.7300 ,308906.0000 ,926.5000 ,-0.1100 ,0.0300 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/28,18.8761 ,19.2592 ,18.8761 ,19.1547 ,417.0000 ,11459.0000 ,19.3637 ,20.0428 ,20.5704 ,17.2940 ,11.0906 ,-1.0792 ,-4.4311 ,-6.8824 ,27.9693 ,-83.1321 ,-1.6369 ,-0.5033 ,-0.2765 ,-0.2268 ,45.8021 ,339.2026 ,60.3401 ,2.0295 ,1.4760 ,0.0170 ,36.7900 ,1.7500 ,308011.4700 ,932.6200 ,0.0600 ,0.0000 ,-0.0600 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/1/29,19.1547 ,19.1547 ,18.8761 ,19.1547 ,445.0000 ,12161.0000 ,19.2035 ,19.8722 ,20.4485 ,23.9778 ,16.4677 ,-0.2540 ,-3.6104 ,-6.3273 ,27.9693 ,-83.1321 ,-1.3583 ,-0.5321 ,-0.3276 ,-0.2045 ,44.8745 ,289.6244 ,60.3401 ,1.4545 ,0.0000 ,0.0170 ,36.7900 ,1.7500 ,303876.3000 ,682.5000 ,-0.0800 ,0.0000 ,-0.0800 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/1,18.9806 ,19.0851 ,18.9458 ,18.9458 ,290.0000 ,7907.0000 ,19.0154 ,19.6876 ,20.3354 ,26.9547 ,22.7422 ,-0.3661 ,-3.7678 ,-6.8332 ,26.0557 ,-89.1859 ,-1.0099 ,-0.5653 ,-0.3751 ,-0.1902 ,46.9063 ,304.8423 ,63.3881 ,0.7273 ,-1.0909 ,0.0180 ,36.3800 ,1.7300 ,301115.3400 ,681.7500 ,-0.1100 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/2,19.0154 ,19.1547 ,18.5975 ,18.8064 ,396.0000 ,10752.0000 ,18.9875 ,19.5030 ,20.2291 ,25.1411 ,25.3579 ,-0.9540 ,-3.5717 ,-7.0331 ,24.8346 ,-91.6690 ,-1.0797 ,-0.5960 ,-0.4193 ,-0.1767 ,45.2217 ,302.3799 ,65.3043 ,2.9412 ,-0.7353 ,0.0180 ,36.1200 ,1.7200 ,297045.3600 ,650.8800 ,-0.1100 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/3,18.9109 ,18.9458 ,18.5278 ,18.7020 ,635.0000 ,17043.0000 ,18.9527 ,19.2940 ,20.1177 ,22.4737 ,24.8565 ,-1.3229 ,-3.0685 ,-7.0370 ,23.9301 ,-93.2407 ,-0.2438 ,-0.6216 ,-0.4598 ,-0.1618 ,43.3527 ,283.8729 ,66.7096 ,2.2222 ,-0.5556 ,0.0170 ,35.9200 ,1.7100 ,294166.4000 ,858.8800 ,-0.1100 ,0.0000 ,-4.0300 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/4,18.7020 ,18.8064 ,18.5975 ,18.7020 ,349.0000 ,9383.0000 ,18.8622 ,19.1129 ,20.0132 ,25.5330 ,24.3826 ,-0.8492 ,-2.1500 ,-6.5517 ,23.9301 ,-93.0531 ,-0.1741 ,-0.6346 ,-0.4947 ,-0.1398 ,41.7072 ,287.1674 ,66.7096 ,1.1173 ,0.0000 ,0.0170 ,35.9200 ,1.7100 ,292473.8300 ,858.5600 ,-0.9700 ,0.0000 ,-1.3400 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/5,18.1099 ,18.3189 ,17.4830 ,17.9706 ,863.0000 ,22116.0000 ,18.6254 ,18.9144 ,19.8495 ,26.9243 ,24.9770 ,-3.5154 ,-4.9899 ,-9.4658 ,18.4657 ,-86.2741 ,-1.1841 ,-0.6958 ,-0.5349 ,-0.1609 ,39.1177 ,248.4500 ,74.9524 ,4.4693 ,-3.9106 ,0.0170 ,34.5100 ,1.6400 ,269550.7100 ,615.1200 ,-1.2900 ,0.0000 ,0.0800 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/8,17.4134 ,17.5875 ,17.1696 ,17.5875 ,525.0000 ,13140.0000 ,18.0751 ,18.5313 ,19.4804 ,32.2680 ,29.2340 ,-2.6976 ,-5.0931 ,-9.7167 ,19.8096 ,-78.8130 ,-1.3583 ,-0.8238 ,-0.6320 ,-0.1918 ,37.7901 ,188.7776 ,79.1815 ,2.4000 ,1.0000 ,0.0170 ,33.7800 ,1.6100 ,255431.1500 ,650.7800 ,-0.0800 ,0.0000 ,-0.0300 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/9,17.5875 ,17.8313 ,17.4134 ,17.7965 ,418.0000 ,10630.0000 ,17.8940 ,18.4234 ,19.3219 ,39.7688 ,33.5155 ,-0.5449 ,-3.4025 ,-7.8946 ,24.7164 ,-69.6065 ,-1.0099 ,-0.8318 ,-0.6719 ,-0.1598 ,39.3028 ,163.2164 ,65.0410 ,2.3762 ,1.1881 ,0.0170 ,34.1800 ,1.6300 ,261394.9700 ,584.8900 ,-0.5100 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/10,18.1099 ,18.4582 ,17.9009 ,18.3885 ,902.0000 ,23599.0000 ,17.8313 ,18.3467 ,19.1948 ,62.2433 ,44.7600 ,3.1248 ,0.2276 ,-4.2005 ,36.5582 ,-51.9999 ,-0.3135 ,-0.7813 ,-0.6938 ,-0.0875 ,41.8635 ,143.9851 ,35.4421 ,3.1311 ,3.3268 ,0.0170 ,35.5900 ,1.7000 ,267145.9200 ,601.6800 ,1.2100 ,0.0000 ,0.0800 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/22,18.6671 ,18.6671 ,18.2144 ,18.4582 ,571.0000 ,15053.0000 ,17.9288 ,18.2771 ,19.0746 ,78.9855 ,60.3325 ,2.9527 ,0.9909 ,-3.2316 ,37.7987 ,-49.4939 ,-0.2438 ,-0.7273 ,-0.7005 ,-0.0268 ,42.1907 ,136.3492 ,27.2522 ,2.4621 ,0.3788 ,0.0170 ,35.7300 ,1.7000 ,270427.2400 ,553.5600 ,0.0300 ,0.0300 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/23,18.4582 ,18.4582 ,18.2840 ,18.4234 ,313.0000 ,8286.0000 ,18.1308 ,18.2249 ,18.9562 ,89.6708 ,76.9666 ,1.6137 ,1.0894 ,-2.8108 ,37.4054 ,-37.1765 ,0.4528 ,-0.6795 ,-0.6963 ,0.0168 ,36.5111 ,143.9506 ,28.0329 ,0.9434 ,-0.1887 ,0.0170 ,35.6600 ,1.7000 ,270874.4500 ,555.4500 ,0.0000 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/24,18.3537 ,18.4582 ,18.2492 ,18.3885 ,386.0000 ,10171.0000 ,18.2910 ,18.1831 ,18.8430 ,83.5976 ,84.0846 ,0.5329 ,1.1298 ,-2.4122 ,36.9898 ,-34.2472 ,0.9751 ,-0.6371 ,-0.6845 ,0.0474 ,38.6215 ,140.1213 ,28.8575 ,1.1342 ,-0.1890 ,0.0170 ,35.5900 ,1.7000 ,269616.2400 ,500.4600 ,0.5000 ,0.1100 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/25,18.4582 ,18.5278 ,18.0403 ,18.0403 ,631.0000 ,16430.0000 ,18.3398 ,18.1169 ,18.7055 ,59.8992 ,77.7226 ,-1.6330 ,-0.4228 ,-3.5560 ,33.0444 ,-45.7115 ,0.4528 ,-0.6244 ,-0.6724 ,0.0481 ,35.7174 ,142.5293 ,36.6555 ,2.6515 ,-1.8939 ,0.0170 ,34.9200 ,1.6600 ,267251.4200 ,494.3800 ,0.1800 ,0.0800 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/2/26,18.0403 ,18.3537 ,18.0054 ,18.0403 ,629.0000 ,16402.0000 ,18.2701 ,18.0507 ,18.5818 ,33.7486 ,59.0818 ,-1.2580 ,-0.0577 ,-2.9143 ,33.0444 ,-45.7115 ,0.2438 ,-0.6073 ,-0.6594 ,0.0521 ,40.5759 ,143.2350 ,36.6555 ,1.9305 ,0.0000 ,0.0170 ,34.9200 ,1.6600 ,269329.1700 ,495.3300 ,0.4100 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/1,18.1796 ,18.1796 ,17.8313 ,18.1447 ,533.0000 ,13804.0000 ,18.2074 ,18.0681 ,18.4913 ,22.8215 ,38.8231 ,-0.3446 ,0.4238 ,-1.8743 ,35.4389 ,-41.4291 ,-0.2438 ,-0.5786 ,-0.6433 ,0.0646 ,37.8508 ,133.7633 ,36.6555 ,1.9305 ,0.5792 ,0.0170 ,35.1200 ,1.6700 ,268401.7000 ,440.3000 ,2.7600 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/2,18.1447 ,18.4582 ,18.1099 ,18.1796 ,623.0000 ,16323.0000 ,18.1587 ,18.1448 ,18.4060 ,33.4260 ,29.9987 ,0.1152 ,0.1921 ,-1.2298 ,36.2596 ,-34.3742 ,-0.2786 ,-0.5468 ,-0.6240 ,0.0771 ,42.6258 ,133.5344 ,23.1644 ,1.9194 ,0.1919 ,0.0170 ,35.1900 ,1.6800 ,272480.0000 ,419.2000 ,0.2300 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/3,18.1447 ,18.3537 ,18.1099 ,18.2840 ,576.0000 ,15082.0000 ,18.1378 ,18.2144 ,18.3729 ,53.3333 ,36.5269 ,0.8062 ,0.3821 ,-0.4836 ,38.7670 ,-25.0000 ,-0.1394 ,-0.5073 ,-0.6006 ,0.0933 ,43.9858 ,126.7794 ,23.1644 ,1.3410 ,0.5747 ,0.0170 ,35.3900 ,1.6900 ,273921.3400 ,104.7200 ,0.5300 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/4,18.1796 ,18.8064 ,18.1447 ,18.5627 ,1413.0000 ,37534.0000 ,18.2423 ,18.2910 ,18.3572 ,63.3371 ,50.0321 ,1.7566 ,1.4853 ,1.1195 ,44.9884 ,-11.6625 ,0.1742 ,-0.4484 ,-0.5702 ,0.1218 ,50.4252 ,116.4473 ,3.8447 ,3.6190 ,1.5238 ,0.0170 ,35.9300 ,1.7100 ,280234.5600 ,159.3600 ,-0.2900 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/5,18.7716 ,18.9458 ,18.5627 ,18.5975 ,656.0000 ,17615.0000 ,18.3537 ,18.3119 ,18.3293 ,69.5841 ,62.0849 ,1.3283 ,1.5595 ,1.4631 ,45.7299 ,-15.6258 ,0.5572 ,-0.3943 ,-0.5350 ,0.1407 ,49.3747 ,119.0038 ,1.2900 ,2.0638 ,0.1876 ,0.0170 ,36.0100 ,1.7200 ,284638.2000 ,241.5600 ,0.2400 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/8,18.9109 ,18.9109 ,18.5627 ,18.8064 ,683.0000 ,18362.0000 ,18.4860 ,18.3467 ,18.3119 ,75.6931 ,69.5381 ,1.7330 ,2.5054 ,2.7003 ,50.0796 ,-7.8482 ,0.7661 ,-0.3308 ,-0.4942 ,0.1634 ,48.5373 ,112.5643 ,1.2900 ,1.8727 ,1.1236 ,0.0170 ,36.4200 ,1.7300 ,286622.2900 ,241.8300 ,-0.1100 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
1734.TW,2010/3/9,18.8064 ,18.8761 ,18.7020 ,18.8064 ,476.0000 ,12844.0000 ,18.6114 ,18.3850 ,18.3049 ,78.4650 ,74.5808 ,1.0477 ,2.2919 ,2.7395 ,50.0796 ,-9.0968 ,0.6617 ,-0.2773 ,-0.4508 ,0.1735 ,50.0025 ,108.3746 ,1.2900 ,0.9259 ,0.0000 ,0.0170 ,36.4200 ,1.7300 ,287013.2400 ,242.8200 ,-0.0300 ,0.0000 ,0.0000 ,39.7300 ,0.15,0.24,8.2400 ,0.1200 ,1.1700 ,29.1100 ,1.8300 ,2.9900 ,198.6500 ,115.5800 ,0.1200 ,0.6100 
